Time,x_mm,y_mm,linear_vel,angular_vel,tblank,log_tblank,lasthit,hit_rate,wind,antennae,state_num_i,state_i,action
0.0,300.0,0.0,0.0,0.0,0.0,0.0,0,,3,0,0,0,0
0.0333333333333333,299.949999664156,-0.0866023464782179,3.000000000006977,0.0,0.0,0.0,0,,3,0,0,0,0
0.0666666666666667,299.949999664156,-0.0866023464782179,0.0,-0.07800000000000482,0.0333333333333333,0.03278982282299084,0,,3,0,0,0,0
0.1,299.899999328313,-0.173204692956436,2.9999999999916342,-0.038999999999989085,0.0666666666666666,0.06453852113757111,0,,3,0,0,0,0
0.133333333333333,300.000899308338,-0.0005223428714656,5.999999999992966,0.03900000000000241,0.0999999999999999,0.09531017980432477,0,,3,0,0,0,1
0.166666666666667,299.950673975649,-0.0869943959071918,2.999999999989636,0.0,0.1333333333333332,0.12516314295400588,0,,3,0,1,1,0
0.2,299.950673975649,-0.0869943959071918,0.0,0.0,0.1666666666666665,0.15415067982725816,0,,3,0,1,1,0
0.233333333333333,299.950673975649,-0.0869943959071918,0.0,0.0,0.1999999999999998,0.18232155679395445,0,,3,0,1,1,0
0.266666666666667,299.900448642959,-0.173466448942918,3.000000000005053,0.0,0.2333333333333331,0.20972053098206886,0,,3,0,1,1,0
0.3,299.834297522387,-0.135044069435332,2.294999999992575,0.0,0.2666666666666664,0.23638877806423017,0,,3,0,1,1,0
0.333333333333333,299.834297522387,-0.135044069435332,0.0,-0.07800000000000482,0.2999999999999997,0.26236426446749084,0,,3,0,1,1,0
0.366666666666667,299.768146401814,-0.0966216899277452,2.2950000000161817,-0.07800000000000482,0.333333333333333,0.2876820724517807,0,,3,0,1,1,0
0.4,299.920169320696,0.162007450221944,8.999999999998282,0.0,0.36666666666666625,0.3123746850421521,0,,3,1,1,17,1
0.433333333333333,299.869495014402,0.075797736838714,2.9999999999997216,0.0,0.0,0.0,1,,3,1,0,16,0
0.466666666666667,299.869495014402,0.075797736838714,0.0,0.0,0.0,0.0,1,,3,1,0,16,0
0.5,299.869495014402,0.075797736838714,0.0,-0.07800000000000482,0.0,0.0,1,,3,3,0,48,0
0.533333333333333,299.75287027737,0.0283538677704191,3.77717156083186,-0.3119999999999926,0.0,0.0,3,,3,3,0,48,3
0.566666666666667,299.818618234979,-0.0107543931257957,2.2950000000160764,-0.23400000000000112,0.0,0.0,3,,3,2,0,32,3
0.6,299.818618234979,-0.0107543931257957,0.0,0.0,0.0,0.0,2,,3,2,0,32,0
0.633333333333333,299.818618234979,-0.0107543931257957,0.0,0.0,0.0,0.0,2,,3,2,0,32,0
0.666666666666667,299.818618234979,-0.0107543931257957,0.0,0.03900000000000241,0.0,0.0,2,,3,2,0,32,0
0.7,299.92353099011,0.159519838074376,5.9999999999991775,0.03900000000000241,0.0,0.0,2,,3,2,0,32,1
0.733333333333333,299.975765834122,0.244793052339182,3.0000000000012896,0.0,0.0,0.0,2,,3,2,0,32,0
0.766666666666667,300.341409742205,0.84170555219282,20.99999999999378,0.0,0.0,0.0,2,,3,2,0,32,1
0.8,300.341409742205,0.84170555219282,0.0,0.0,0.0,0.0,2,,3,2,0,32,0
0.833333333333333,300.236940054181,0.671159123663209,6.0000000000025535,0.0,0.0,0.0,2,,3,2,0,32,1
0.866666666666667,300.289174898193,0.756432337928015,3.000000000001291,0.0,0.0,0.0,2,,3,2,0,32,0
0.9,300.354408907106,0.716472682258904,2.2950000000114406,0.0,0.0,0.0,2,,3,2,0,32,0
0.933333333333333,300.19770437507,0.460653039464487,9.000000000004736,0.0,0.0,0.0,2,,3,2,0,32,1
0.966666666666667,300.289174898193,0.756432337928015,9.288004360462814,0.0,0.0,0.0,2,18.0,3,2,0,32,1
1.0,300.289174898193,0.756432337928015,0.0,0.0,0.0,0.0,2,19.0,3,2,0,32,0
1.03333333333333,300.289174898193,0.756432337928015,0.0,0.0,0.0,0.0,2,20.0,3,2,0,32,0
1.06666666666667,300.158706880368,0.836351649266237,4.589999999995252,0.0,0.0,0.0,2,21.0,3,2,0,32,1
1.1,300.21094172438,0.921624863531042,3.0000000000012657,0.0,0.0,0.0,2,22.0,3,2,0,32,0
1.13333333333333,300.21094172438,0.921624863531042,0.0,0.03900000000000241,0.0,0.0,2,22.0,3,0,0,0,0
1.16666666666667,300.145707715467,0.961584519200154,2.295000000011456,0.03900000000000241,0.0333333333333333,0.03278982282299084,2,22.0,3,0,0,0,0
1.2,300.145707715467,0.961584519200154,0.0,0.038999999999989085,0.0666666666666666,0.06453852113757111,2,22.0,3,0,0,0,0
1.23333333333333,300.145707715467,0.961584519200154,0.0,0.038999999999989085,0.0999999999999999,0.09531017980432477,2,22.0,3,0,0,0,0
1.26666666666667,300.145707715467,0.961584519200154,0.0,0.0,0.1333333333333332,0.12516314295400588,2,22.0,3,0,1,1,0
1.3,300.080266799244,1.00120441929833,2.2949999999793613,0.0,0.1666666666666665,0.15415067982725816,2,22.0,3,0,1,1,0
1.33333333333333,299.562359608418,0.145767605915288,30.000000000003343,0.0,0.1999999999999998,0.18232155679395445,2,22.0,3,0,1,1,1
1.36666666666667,299.510568889335,0.060223924576984,3.0000000000063354,0.0,0.2333333333333331,0.20972053098206886,2,22.0,3,0,1,1,0
1.4,299.510568889335,0.060223924576984,0.0,0.0,0.2666666666666664,0.23638877806423017,2,21.0,3,0,1,1,0
1.43333333333333,299.510568889335,0.060223924576984,0.0,0.0,0.2999999999999997,0.26236426446749084,2,20.0,3,0,1,1,0
