Time,X,Y,Theta,Odor,Wind
0,299.934998163151,0.499410413594101,2.62579,N,F
0.0333333333333333,299.934998163151,0.499410413594101,2.62579,N,F
0.0666666666666667,299.868451034455,0.537142755985949,2.62839,N,F
0.1,299.668516011217,0.649820333536746,2.62839,N,F
0.133333333333333,299.668516011217,0.649820333536746,2.62839,N,F
0.166666666666667,299.735161018963,0.612261141019813,2.62839,N,F
0.2,299.749161954518,0.948732497606961,2.62319,N,F
0.233333333333333,299.749161954518,0.948732497606961,2.62319,N,F
0.266666666666667,299.749161954518,0.948732497606961,2.62319,N,F
0.3,299.699612624849,0.861871321415182,2.62319,N,F
0.333333333333333,299.749161954518,0.948732497606961,2.62319,N,F
0.366666666666667,299.897809943523,1.2093160261823,2.62319,N,F
0.4,299.798711284186,1.03559367379874,2.62319,N,F
0.433333333333333,299.798711284186,1.03559367379874,2.62319,N,F
0.466666666666667,299.798711284186,1.03559367379874,2.62319,N,F
0.5,299.732262484399,1.07349891099501,2.62059,N,F
0.533333333333333,299.599562441031,1.14965466251789,2.62059,N,F
0.566666666666667,299.599562441031,1.14965466251789,2.61279,N,F
0.6,299.331711482072,0.842884204707672,2.61799,N,F
0.633333333333333,299.281711146229,0.756281858229454,2.61799,N,F
0.666666666666667,299.231710810385,0.669679511751236,2.61799,N,F
0.7,299.397962277128,0.804633947787364,2.61799,N,F
0.733333333333333,299.247961269598,0.54482690835271,2.61799,N,F
0.766666666666667,299.197960933754,0.458224561874492,2.61799,N,F
0.8,299.197960933754,0.458224561874492,2.61799,B,F
0.833333333333333,299.26421172881,0.419974304954185,2.62059,B,F
0.866666666666667,299.164661726819,0.24651019597583,2.62059,L,F
0.9,299.164661726819,0.24651019597583,2.62059,L,F
0.933333333333333,299.214436727815,0.333242250465008,2.61799,L,F
0.966666666666667,298.914434712753,-0.1863718284043,2.61799,L,F
1,298.86443437691,-0.272974174882518,2.61799,L,F
1.03333333333333,298.848183917698,-0.148121571483993,2.62059,L,F
1.06666666666667,298.848183917698,-0.148121571483993,2.62059,L,F
1.1,298.914533939382,-0.18619944724543,2.62579,L,F
1.13333333333333,298.998304873385,-0.348653842742285,2.62579,L,F
1.16666666666667,299.114175325468,-0.299396474420972,2.62319,L,F
1.2,299.114175325468,-0.299396474420972,2.62319,L,F
1.23333333333333,299.247072925042,-0.375206948813516,2.62319,L,F
1.26666666666667,299.379970524615,-0.45101742320606,2.62319,L,F
1.3,299.379970524615,-0.45101742320606,2.62319,L,F
1.33333333333333,299.379970524615,-0.45101742320606,2.62319,L,F
1.36666666666667,299.379970524615,-0.45101742320606,2.62839,L,F
1.4,299.379970524615,-0.45101742320606,2.62839,L,F
1.43333333333333,299.429067508298,-0.363899766021633,2.62839,N,F
1.46666666666667,299.47816449198,-0.276782108837205,2.62839,N,F
1.5,299.544809499726,-0.314341301354137,2.62839,N,F
1.53333333333333,299.64300346709,-0.140105986985282,2.62839,N,F
1.56666666666667,299.83939140182,0.208364641752429,2.62839,B,F
1.6,299.906036409566,0.170805449235496,2.63099,B,F
1.63333333333334,300.217130406248,0.569644734196802,2.63359,B,F
1.66666666666667,300.217130406248,0.569644734196802,2.63359,B,F
1.7,300.217130406248,0.569644734196802,2.63359,B,F
1.73333333333334,300.217130406248,0.569644734196802,2.63359,B,F
1.76666666666667,300.071200475897,0.307529386633998,2.63359,B,F
1.8,299.87662723543,-0.0419577434497397,2.63359,B,F
1.83333333333334,299.840235028407,0.20721008607076,2.63879,B,F
1.86666666666667,299.840235028407,0.20721008607076,2.63879,B,F
1.9,299.792046707168,0.119586540740995,2.63879,B,F
1.93333333333334,299.792046707168,0.119586540740995,2.63879,B,F
1.96666666666667,299.743858385929,0.0319629954112293,2.64659,B,F
2,299.771547673327,0.244296585225435,2.64919,B,F
2.03333333333334,299.771547673327,0.244296585225435,2.65179,B,F
2.06666666666667,299.489276621055,-0.285158845429129,2.65179,B,F
2.1,299.28675991883,-0.177190167935327,2.65439,B,F
2.13333333333334,299.401174416756,-0.124639500343561,2.64659,B,F
2.16666666666667,299.515995325261,-0.0729828553695772,2.62579,B,F
2.2,299.316353939175,0.0402141718059654,2.62579,B,F
2.23333333333334,299.249806810479,0.0779465141978129,2.62579,B,F
2.26666666666667,298.850524038306,0.304340568548898,2.62059,B,F
2.3,298.651473973253,0.41857419583321,2.60499,B,F
2.33333333333333,298.490864478401,-0.300365885232787,2.58939,B,F
2.36666666666667,298.26836545227,-0.515648103195413,2.58419,N,F
2.4,297.955785703506,-0.438642254959868,2.58679,N,F
2.43333333333333,297.379619013709,-0.787451580479026,2.59719,N,F
2.46666666666667,297.379619013709,-0.787451580479026,2.59719,N,F
2.5,297.21059665932,-0.918919043057461,2.59719,N,F
2.53333333333333,296.959673122084,-0.299405017017029,2.59459,N,F
2.56666666666667,296.828997755265,-0.219825192270088,2.59459,N,F
2.6,296.607621199803,-0.436261489345382,2.58679,N,F
2.63333333333333,296.81833142586,-0.0962597237102257,2.58679,N,F
2.66666666666667,297.029041651917,0.243742041924931,2.58679,N,F
2.7,296.118686924429,0.807918672192448,2.56079,N,F
2.73333333333333,296.173556439422,0.891520922906006,2.56079,B,F
2.76666666666667,295.387210815908,-0.0277557277165577,2.49579,B,F
2.8,295.688130638448,0.371552750032844,2.49579,B,F
2.83333333333333,295.989960693575,0.644958799383758,2.43339,B,F
2.86666666666667,295.931856478629,0.694719729896161,2.39959,B,F
2.9,295.987792063248,1.32175837334115,2.35279,R,L
2.93333333333333,295.916841061572,1.25128883835515,2.35279,R,L
