,Time,x_mm,y_mm,theta_rad,antennae,wind,linear_vel,angular_vel,traveled_distance,tortuosity,cdv,heading,whiff,hits,hit_rate,lasthit,tblank,log_tblank,twhiff,log_twhiff,tblank_k,log_tblank_k,antennae_k,hits_k,wind_k,experiment
3737,124.566666666662,187.864524930064,63.7688205149684,5.34786346410206,0,1,15.174551887952807,-0.9750000000000202,1990.520092994185,7.902333115610409,7059.805391670664,-0.5935594409803233,0,30,0.0,3,6.499999999999993,2.014903020542264,0.0,0.0,6.533333333333326,2.0193376176101294,0,30,1,case19
3738,124.599999999995,187.220692807835,63.2939729621842,5.31406346410206,0,1,23.999999999981668,-0.9360000000000045,1991.3200929941845,7.905509102888676,7061.915190769403,-0.5660236921986094,0,30,0.0,3,6.533333333333326,2.0193376176101294,0.0,0.0,6.566666666666659,2.023752635819246,0,30,1,case19
3739,124.633333333329,186.717733968563,63.3198265112406,5.28546346410206,0,1,15.108686243369483,-0.5459999999999804,1991.8237158689635,7.907508477692855,7064.025851653111,-0.5422179050754364,0,30,0.0,3,6.566666666666659,2.023752635819246,0.0,0.0,6.599999999999993,2.0281482472922847,0,30,1,case19
3740,124.666666666662,186.67731875023,63.5668829018219,5.27766346410206,0,1,7.510208053041415,0.15599999999998299,1992.0740561373982,7.908502324577588,7066.144747749839,-0.5356476216575007,0,30,0.0,3,6.599999999999993,2.0281482472922847,0.0,0.0,6.633333333333327,2.0325246218920836,0,30,1,case19
3741,124.699999999995,186.472433534946,63.8898818159966,5.29586346410206,0,1,11.475000000000493,1.3649999999999909,1992.4565561373981,7.910020843495011,7068.274410477038,-0.5509268989224293,0,30,0.0,3,6.633333333333327,2.0325246218920836,0.0,0.0,6.66666666666666,2.0368819272610392,0,30,1,case19
3742,124.733333333329,186.219558088341,64.272941874609,5.36866346410206,0,1,13.76999999999399,2.496000000000021,1992.915556137398,7.9118430661959165,7070.416841872859,-0.610169474995976,0,30,0.0,3,6.66666666666666,2.0368819272610392,0.0,0.0,6.699999999999993,2.0412203288596373,0,30,1,case19
3743,124.766666666662,185.472710650946,65.242681481543,5.46226346410206,0,1,36.71999999999967,1.4040000000000068,1994.139556137398,7.916702326731668,7072.591597922244,-0.6815469157873293,0,30,0.0,3,6.699999999999993,2.0412203288596373,0.0,0.0,6.733333333333326,2.0455399900041535,0,30,1,case19
3744,124.799999999995,185.984952744857,65.7197643225941,5.46226346410206,0,1,20.999999999993882,0.0,1994.8395561373977,7.9194813156001524,7074.782256732997,-0.6815469157873293,0,30,0.0,3,6.733333333333326,2.0455399900041535,0.0,0.0,6.7666666666666595,2.0498410719035443,0,30,1,case19
3745,124.833333333329,184.887291115047,64.6974439489131,5.46226346410206,0,1,45.00000000000417,0.6630000000000009,1996.339556137398,7.925436291746908,7076.938838197961,-0.6815469157873293,0,30,0.0,3,6.7666666666666595,2.0498410719035443,0.0,0.0,6.799999999999993,2.054123733695545,0,30,0,case19
3746,124.866666666662,184.134477592244,63.8917615984267,5.50646346410206,0,0,33.07970714804356,0.6630000000000009,1997.4422130423327,7.929813822124868,7079.068563584575,-0.7132151743333562,0,30,0.0,3,6.799999999999993,2.054123733695545,0.0,0.0,6.833333333333326,2.0583881324820026,0,30,0,case19
3747,124.899999999995,183.643815981356,63.3925109763934,5.50646346410206,0,0,20.9999999999965,-0.8579999999999997,1998.1422130423325,7.932592810993353,7081.181647283788,-0.7132151743333562,0,30,0.0,3,6.833333333333326,2.0583881324820026,0.0,0.0,6.866666666666659,2.0626344233634537,0,30,1,case19
