Time,X,Y,Theta,Odor,Wind
0,299.83249957505,-0.596114592709922,2.65699,B,F
0.0333333333333333,299.785913895027,-0.684600605258283,2.65699,B,F
0.0666666666666667,299.320057094787,-1.56946073074189,2.65699,B,F
0.1,299.320057094787,-1.56946073074189,2.67519,B,F
0.133333333333333,298.690510580071,-2.81992911731078,2.67519,B,F
0.166666666666667,297.811008960933,-4.05651601354356,2.71159,B,F
0.2,298.07531329417,-4.39776294676419,2.77399,B,F
0.233333333333333,298.036941863018,-5.56173626401479,2.86239,B,F
0.266666666666667,298.634381664692,-5.42093167113789,2.95339,B,F
0.3,298.634381664692,-5.42093167113789,2.95339,B,F
0.333333333333333,298.634381664692,-5.42093167113789,2.95339,B,F
0.366666666666667,298.634381664692,-5.42093167113789,3.00539,B,F
0.4,298.434163506656,-5.19162196965837,3.05739,B,F
0.433333333333333,298.349524223466,-5.2848337808259,3.13019,B,F
0.466666666666667,298.349524223466,-5.2848337808259,3.13019,B,F
0.5,298.349524223466,-5.2848337808259,3.13019,B,F
0.533333333333333,298.576728822476,-5.48743763120648,3.17439,B,F
0.566666666666667,298.815942840943,-5.77975065412702,3.24199,B,F
0.6,299.044287174938,-5.75674815139169,3.32779,B,F
0.633333333333333,299.117208107878,-6.55708232380919,3.38499,N,F
0.666666666666667,299.041018177504,-6.8851129542535,3.40579,N,F
0.7,299.114863812052,-6.8651361612623,3.42919,N,F
0.733333333333333,298.7979583603,-6.33317757767732,3.44739,N,F
0.766666666666667,298.7979583603,-6.33317757767732,3.44739,N,F
0.8,298.613835777494,-7.02049491668526,3.48899,N,F
0.833333333333333,297.54256452903,-6.98296942915291,3.54359,N,F
0.866666666666667,297.777318874341,-7.53513824152626,3.54359,N,F
0.9,297.777318874341,-7.53513824152626,3.54359,N,F
0.933333333333333,297.933821771215,-7.9032507831085,3.53579,N,F
0.966666666666667,297.94750608953,-7.13941261999261,3.48639,N,F
1,296.783726884947,-6.3885862665799,3.38499,N,F
1.03333333333333,296.416390708507,-5.8615811589397,3.25239,N,F
1.06666666666667,296.524224233587,-5.44711652731364,3.13279,N,F
1.1,296.524224233587,-5.44711652731364,3.13279,N,F
1.13333333333333,296.218236088977,-5.44442295010156,3.00019,B,F
1.16666666666667,296.732579852595,-4.00251917632634,2.89099,B,F
1.2,296.215237033015,-2.32172162545067,2.75839,B,F
1.23333333333333,295.576672598755,-2.0642964648757,2.66739,B,F
1.26666666666667,295.580157528982,-0.717250862358358,2.59719,B,F
1.3,295.212002356439,-0.143660617558057,2.49839,B,F
1.33333333333333,294.481150726393,0.0292212636729837,2.41779,B,F
1.36666666666667,294.838979012125,0.780639368279045,2.30859,B,L
1.4,294.292089820124,0.490258219317287,2.19159,B,L
1.43333333333333,295.179193095684,1.31272814490142,2.08239,B,L
1.46666666666667,295.87676541943,1.70438214161832,2.08239,B,L
1.5,296.624656142855,1.59789051840703,1.97319,B,L
1.53333333333333,297.728807602,2.06783685073404,1.97319,B,L
1.56666666666667,299.299428325736,3.48458763763025,1.88479,B,L
1.6,299.157661814023,3.92114606001702,1.81459,B,L
1.63333333333334,300.169735905714,4.40938399681438,1.77819,B,L
1.66666666666667,300.741126325164,4.60779074710605,1.75219,B,L
1.7,300.741126325164,4.60779074710605,1.73659,B,L
1.73333333333334,301.024387439031,4.73275230667742,1.72359,N,L
1.76666666666667,300.826717491294,4.7023123368786,1.72359,N,L
1.8,301.076649259108,5.0504073116156,1.64559,N,L
1.83333333333334,301.076649259108,5.0504073116156,1.64559,N,L
1.86666666666667,302.749030964401,5.48258254436596,1.53119,N,L
1.9,302.752060056319,5.5590225509211,1.42459,N,L
1.93333333333334,303.36794854157,5.62297858062621,1.32839,N,L
