Time,x_mm,y_mm,theta_rad,antennae,wind,linear_vel,angular_vel,traveled_distance,tortuosity,cdv,heading,whiff,hits_count,hit_rate,lasthit,tblank,log_tblank,twhiff,log_twhiff,tblank_k,log_tblank_k,antennae_k,hits_count_k,wind_k,experiment,log_tblank_digi,log_tblank_k_digi,state_num_i,state_num_k,state_cat_i,state_cat_k,state_i,state_k,action
0.0,299.983749540788,0.124852603398525,2.61539,0,3,0.0,0.0,0.0,0.0,0.004161753446617495,0.8647205303572616,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,case124.csv,0,0,0,0,0,0,0,0,0
0.0333333333333333,299.983749540788,0.124852603398525,2.61539,0,3,0.0,0.0,0.0,0.0,0.00832350689323499,0.8647205303572616,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0333333333333333,0.03278982282299084,0,0,3,case124.csv,0,0,0,0,0,0,0,0,0
0.0666666666666667,299.330820215822,-0.999284086065914,2.61539,0,3,39.000000000007404,0.0,1.3000000000002454,0.005143489612338253,-0.024985962642295443,0.8647205303572616,0,0,0.0,0,0.0333333333333333,0.03278982282299084,0.0,0.0,0.0666666666666666,0.06453852113757111,0,0,3,case124.csv,0,0,0,0,0,0,0,0,1
0.1,299.431270881201,-0.826339979994462,2.61539,0,3,5.999999999995536,0.0,1.5000000000000964,0.005934795706543399,-0.05253062864211081,0.8647205303572616,0,0,0.0,0,0.0666666666666666,0.06453852113757111,0.0,0.0,0.0999999999999999,0.09531017980432477,0,0,3,case124.csv,0,0,0,0,0,0,0,0,1
0.133333333333333,299.431270881201,-0.826339979994462,2.61539,0,3,0.0,0.0,1.5000000000000964,0.005934795706543399,-0.08007529464192618,0.8647205303572616,0,0,0.0,0,0.0999999999999999,0.09531017980432477,0.0,0.0,0.1333333333333332,0.12516314295400588,0,0,3,case124.csv,0,1,0,1,0,0,0,1,0
0.166666666666667,299.431270881201,-0.826339979994462,2.61539,0,3,0.0,0.0,1.5000000000000964,0.005934795706543399,-0.10761996064174155,0.8647205303572616,0,0,0.0,0,0.1333333333333332,0.12516314295400588,0.0,0.0,0.1666666666666665,0.15415067982725814,0,0,3,case124.csv,1,1,1,1,0,0,1,1,0
0.2,299.431270881201,-0.826339979994462,2.61539,0,3,0.0,0.0,1.5000000000000964,0.005934795706543399,-0.13516462664155693,0.8647205303572616,0,0,0.0,0,0.1666666666666665,0.15415067982725814,0.0,0.0,0.1999999999999998,0.18232155679395445,0,0,3,case124.csv,1,1,1,1,0,0,1,1,0
0.233333333333333,299.597872667153,-0.691818253430596,2.61539,0,3,6.423941547065574,0.0,1.714131384902282,0.006782013055712467,-0.15822523508924344,0.8647205303572616,0,0,0.0,0,0.1999999999999998,0.18232155679395445,0.0,0.0,0.2333333333333331,0.2097205309820689,3,1,3,case124.csv,1,1,1,1,0,3,1,49,1
0.266666666666667,299.547647334463,-0.778290306466322,2.61539,3,3,3.000000000005048,0.0,1.81413138490245,0.007177666102816,-0.18416824530478748,0.8647205303572616,1,1,1.0,0,0.2333333333333331,0.2097205309820689,0.0,0.0,0.0,0.0,3,1,3,case124.csv,1,0,1,0,3,3,49,48,0
0.3,299.547647334463,-0.778290306466322,2.61539,3,3,0.0,0.0,1.81413138490245,0.007177666102816,-0.21011125552033152,0.8647205303572616,1,1,2.0,3,0.0,0.0,0.0333333333333333,0.03278982282299084,0.0,0.0,3,1,3,case124.csv,0,0,0,0,3,3,48,48,0
0.333333333333333,299.547647334463,-0.778290306466322,2.61539,3,3,0.0,0.0,1.81413138490245,0.007177666102816,-0.23605426573587557,0.8647205303572616,1,1,3.0,3,0.0,0.0,0.0666666666666666,0.06453852113757111,0.0,0.0,3,1,3,case124.csv,0,0,0,0,3,3,48,48,0
0.366666666666667,299.547647334463,-0.778290306466322,2.61539,3,3,0.0,0.0,1.81413138490245,0.007177666102816,-0.2619972759514196,0.8647205303572616,1,1,4.0,3,0.0,0.0,0.0999999999999999,0.09531017980432477,0.0,0.0,3,1,3,case124.csv,0,0,0,0,3,3,48,48,0
0.4,299.547647334463,-0.778290306466322,2.61539,3,3,0.0,0.0,1.81413138490245,0.007177666102816,-0.2879402861669636,0.8647205303572616,1,1,5.0,3,0.0,0.0,0.1333333333333332,0.12516314295400588,0.0,0.0,3,1,3,case124.csv,0,0,0,0,3,3,48,48,0
0.433333333333333,299.613798455036,-0.816712685973909,2.61539,3,3,2.295000000016184,0.0,1.8906313849029894,0.007480340683851828,-0.31516404236609386,0.8647205303572616,1,1,6.0,3,0.0,0.0,0.1666666666666665,0.15415067982725814,0.0,0.0,3,1,3,case124.csv,0,0,0,0,3,3,48,48,0
0.466666666666667,299.613798455036,-0.816712685973909,2.61539,3,3,0.0,0.0,1.8906313849029894,0.007480340683851828,-0.3423877985652241,0.8647205303572616,1,1,7.0,3,0.0,0.0,0.1999999999999998,0.18232155679395445,0.0,0.0,3,1,3,case124.csv,0,0,0,0,3,3,48,48,0
0.5,299.613798455036,-0.816712685973909,2.61539,3,3,0.0,0.0,1.8906313849029894,0.007480340683851828,-0.36961155476435437,0.8647205303572616,1,1,8.0,3,0.0,0.0,0.2333333333333331,0.2097205309820689,0.0,0.0,3,1,3,case124.csv,0,0,0,0,3,3,48,48,0
0.533333333333333,299.679949575608,-0.855135065481495,2.61539,3,3,2.294999999992575,0.0,1.9671313849027419,0.007783015264884542,-0.39811605694707086,0.8647205303572616,1,1,9.0,3,0.0,0.0,0.2666666666666664,0.23638877806423017,0.0,0.0,3,1,3,case124.csv,0,0,0,0,3,3,48,48,0
