Time,x_mm,y_mm,theta_rad,antennae,wind,linear_vel,angular_vel,traveled_distance,tortuosity,cdv,heading,hit_hz,whiff,hits,hit_rate,lasthit,tblank,log_tblank,twhiff,log_twhiff,tblank_k,log_tblank_k,antennae_k,hits_k,wind_k,experiment,log_tblank_digi,log_tblank_k_digi,state_num_i,state_num_k,state_cat_i,state_cat_k,state_i,state_k,action
0.0,299.797500740213,-1.26872969926046,2.67259,0,3,0.0,0.0,0.0,0.0,-0.04229098997534862,0.8920195292100122,0.0,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,case14.csv,0,0,0,0,0,0,0,0,0
0.0333333333333333,300.457735802472,-1.8274889609848,2.75839,0,3,25.948218146896473,-2.573999999999999,0.8649406048965482,0.0034219313694467063,-0.10320728867484188,0.927471945186503,0.0,0,0,,0,0.0,0.0,0.0,0.0,0.0333333333333333,0.03278982282299084,0,0,3,case14.csv,0,0,0,0,0,0,0,0,3
0.0666666666666667,300.457735802472,-1.8274889609848,2.75839,0,3,0.0,0.0,0.8649406048965482,0.0034219313694467063,-0.16412358737433516,0.927471945186503,0.0,0,0,,0,0.0333333333333333,0.03278982282299084,0.0,0.0,0.0666666666666666,0.06453852113757111,0,0,3,case14.csv,0,0,0,0,0,0,0,0,0
0.1,300.095323889774,-2.11266935220108,2.84159,0,3,13.834855438337344,-2.4960000000000075,1.3261024528411258,0.005246408316117868,-0.2345458991143711,0.9553357049328385,0.0,0,0,,0,0.0666666666666666,0.06453852113757111,0.0,0.0,0.0999999999999999,0.09531017980432477,0,0,3,case14.csv,0,0,0,0,0,0,0,0,3
0.133333333333333,299.846522071319,-2.14038045346699,2.93519,0,3,7.510208053037673,-2.8080000000000003,1.5764427212757146,0.006236819926744575,-0.30589191422993733,0.9787744872852384,0.0,0,0,,0,0.0999999999999999,0.09531017980432477,0.0,0.0,0.1333333333333332,0.12516314295400588,0,0,3,case14.csv,0,1,0,1,0,0,0,1,3
0.166666666666667,299.825222525023,-3.36194362388742,2.94819,0,3,36.65246546959738,-0.3899999999999974,2.7981915702622926,0.011070378078905345,-0.4179567016928512,0.9813559301180688,0.0,0,0,,0,0.1333333333333332,0.12516314295400588,0.0,0.0,0.1666666666666665,0.15415067982725814,0,0,3,case14.csv,1,1,1,1,0,0,1,1,3
0.2,300.785572991037,-2.83673011261143,3.02099,0,3,32.8376312330862,-2.1840000000000015,3.8927792780318313,0.015400853481057778,-0.5125143721132321,0.99273631057702,0.0,0,0,,0,0.1666666666666665,0.15415067982725814,0.0,0.0,0.1999999999999998,0.18232155679395445,0,0,3,case14.csv,1,1,1,1,0,0,1,1,3
0.233333333333333,300.641200384795,-4.02801368530385,3.12239,0,3,35.99999999999898,-3.0420000000000145,5.092779278031796,0.02014836749541841,-0.6467814949566937,0.9998156347129269,0.0,0,0,,0,0.1999999999999998,0.18232155679395445,0.0,0.0,0.2333333333333331,0.2097205309820689,0,0,3,case14.csv,1,1,1,1,0,0,1,1,3
0.266666666666667,300.390621075806,-5.1234041453257,3.21599,0,3,33.710580312422195,-2.8080000000000003,6.2164652884458675,0.024593963397236705,-0.8175616331342168,0.9972337936813734,0.0,0,0,,0,0.2333333333333331,0.2097205309820689,0.0,0.0,0.2666666666666664,0.23638877806423017,0,0,3,case14.csv,1,1,1,1,0,0,1,1,3
0.3,299.932890764507,-5.15752103436081,3.29139,0,3,13.769999999976799,-2.261999999999993,6.675465288445094,0.02640988750772664,-0.9894790009462436,0.9888013418061715,0.0,0,0,,0,0.2666666666666664,0.23638877806423017,0.0,0.0,0.2999999999999997,0.2623642644674908,0,0,3,case14.csv,1,1,1,1,0,0,1,1,3
