Time,x_mm,y_mm,linear_vel,angular_vel,tblank,log_tblank,lasthit,hit_rate,wind,antennae,state_num_i,state_i,action
14.5666666666666,291.082543385786,53.409879261939,69.1742771917423,-1.1310000000000031,0.0,0.0,2,30.0,3,2,0,32,3
14.6,291.304345984169,53.8579904170673,14.999999999996453,0.0,0.0,0.0,2,30.0,3,2,0,32,1
14.6333333333333,291.304345984169,53.8579904170673,0.0,0.07800000000000482,0.0,0.0,2,30.0,3,2,0,32,0
14.6666666666666,291.413227056141,54.2504151387226,12.217488489866238,0.07800000000000482,0.0,0.0,2,30.0,3,2,0,32,1
14.7,290.519651969271,54.6869398391967,29.83499999998047,0.038999999999989085,0.0,0.0,2,30.0,3,2,0,32,1
14.7333333333333,290.313442333839,54.7876763085368,6.885000000007184,0.35100000000000836,0.0,0.0,2,30.0,3,2,0,32,1
14.7666666666666,290.313442333839,54.7876763085368,0.0,0.42900000000001315,0.0,0.0,2,30.0,3,2,0,32,2
14.8,289.924145801545,54.8566289005426,11.860675570995308,0.2339999999999878,0.0,0.0,2,30.0,3,2,0,32,1
14.8333333333333,288.598884748796,55.4535756251893,43.604999999998064,0.3119999999999926,0.0,0.0,2,30.0,3,2,0,32,1
14.8666666666666,288.388904189467,55.5461953569091,6.884999999998974,0.6630000000000009,0.0,0.0,2,30.0,3,2,0,32,2
14.9,288.201556747327,56.2780299939162,22.66302936501944,0.46800000000000225,0.0,0.0,2,30.0,3,2,0,32,2
14.9333333333333,288.201556747327,56.2780299939162,0.0,0.0,0.0,0.0,2,30.0,3,2,0,32,0
14.9666666666666,287.983906669874,55.7188981277299,18.00000000000693,1.0529999999999984,0.0,0.0,2,30.0,3,2,0,32,2
15.0,287.484881479303,55.9131508218561,16.06499999999159,2.0670000000000077,0.0,0.0,2,29.0,3,0,0,0,2
15.0333333333333,286.69710661801,56.4718410472182,28.973291148923472,2.1840000000000015,0.0333333333333333,0.03278982282299084,2,28.0,3,0,0,0,2
15.0666666666666,286.027277613695,56.631093535355,20.65499999998763,2.0670000000000077,0.0666666666666666,0.06453852113757111,2,27.0,3,0,0,0,2
15.1,284.74063425319,56.3265859609531,39.66558205799685,1.7159999999999993,0.0999999999999999,0.09531017980432477,2,26.0,3,0,0,0,2
15.1333333333333,284.578785963936,56.2416499187474,5.483438702129997,1.3260000000000018,0.1333333333333332,0.12516314295400588,2,25.0,3,0,1,1,2
15.1666666666666,284.349478994876,56.2510607603949,6.885000000000459,1.560000000000003,0.1666666666666665,0.15415067982725814,2,24.0,3,0,1,1,2
15.2,282.819518843621,56.262103204535,45.900000000008326,2.2229999999999905,0.1999999999999998,0.18232155679395445,2,23.0,3,0,1,1,2
15.2333333333333,282.13238396821,56.2187683110516,20.65499999998509,1.1699999999999924,0.2333333333333331,0.2097205309820689,2,22.0,3,0,1,1,2
15.2666666666666,282.076177533642,56.6147996692963,11.999999999999629,0.0,0.2666666666666664,0.23638877806423017,2,21.0,3,0,1,1,1
15.3,282.034022707716,56.9118231879799,9.000000000001734,0.1169999999999939,0.2999999999999997,0.2623642644674908,2,20.0,3,0,1,1,1
15.3333333333333,280.973648746016,56.7613304594251,32.12999999998937,0.1169999999999939,0.333333333333333,0.2876820724517806,2,19.0,3,0,1,1,1
15.3666666666666,280.988472180528,56.6624352331032,2.9999999999986433,0.2730000000000035,0.36666666666666625,0.3123746850421521,2,18.0,3,0,1,1,0
15.4,280.458888243574,56.5830557412914,16.064999999999888,0.5849999999999962,0.3999999999999996,0.3364722366212126,2,17.0,3,0,2,2,2
15.4333333333333,280.511320417382,58.1130514495043,45.92681569628036,1.0140000000000093,0.4333333333333329,0.36000273403140676,2,16.0,3,0,2,2,2
