Time, hit, x, y, theta, tblank, state
0.0,0,301.192479650965,3.723479513300267,3.438761978362095,0.03333333333333333,stop
0.03333333333333333,0,300.58709778977834,3.5374044927916395,3.4408286450287617,0.06666666666666667,stop
0.06666666666666667,0,299.9821017761865,3.350078748033909,3.4428953116954286,0.1,stop
0.1,0,299.3774941941937,3.1615030791158603,3.4449619783620955,0.13333333333333333,stop
0.13333333333333333,0,299.3774941941937,3.1615030791158603,3.4449619783620955,0.16666666666666666,stop
0.16666666666666666,0,299.3774941941937,3.1615030791158603,3.4449619783620955,0.19999999999999998,stop
0.2,0,299.3774941941937,3.1615030791158603,3.4449619783620955,0.2333333333333333,stop
0.23333333333333334,0,299.3774941941937,3.1615030791158603,3.4449619783620955,0.26666666666666666,stop
0.26666666666666666,0,299.3774941941937,3.1615030791158603,3.4449619783620955,0.3,stop
0.3,0,299.3774941941937,3.1615030791158603,3.4449619783620955,0.3333333333333333,stop
0.3333333333333333,0,299.3774941941937,3.1615030791158603,3.4449619783620955,0.36666666666666664,stop
0.36666666666666664,0,299.3774941941937,3.1615030791158603,3.4449619783620955,0.39999999999999997,stop
0.4,0,299.35187863402615,3.15408996988861,3.401628645028762,0.4333333333333333,stop
0.43333333333333335,0,299.3259659860522,3.1477934799067926,3.3582953116954286,0.4666666666666666,stop
0.4666666666666667,0,299.2998049008528,3.142625430729346,3.314961978362095,0.49999999999999994,stop
0.5,0,299.2734444954457,3.138595525285699,3.2716286450287617,0.5333333333333333,stop
0.5333333333333333,3,298.6455434484151,3.0558224242867,3.2736953116954286,0.03333333333333333,surge
0.5666666666666667,1,298.6455434484151,3.0558224242867,3.2736953116954286,0.03333333333333333,surge
0.6,0,298.01781480658855,2.9717518388140736,3.2757619783620955,0.06666666666666667,surge
0.6333333333333333,1,298.01781480658855,2.9717518388140736,3.2757619783620955,0.03333333333333333,surge
0.6666666666666666,0,297.39026125106386,2.8863841279425033,3.2778286450287624,0.06666666666666667,surge
0.7,0,296.7628854621911,2.7997196562868383,3.2798953116954292,0.1,surge
0.7333333333333333,0,296.13569011956093,2.7117587940005343,3.281961978362096,0.13333333333333333,surge
0.7666666666666667,0,296.13569011956093,2.7117587940005343,3.281961978362096,0.16666666666666666,surge
0.8,0,296.13569011956093,2.7117587940005343,3.281961978362096,0.19999999999999998,surge
0.8333333333333334,0,296.13569011956093,2.7117587940005343,3.281961978362096,0.2333333333333333,surge
0.8666666666666667,0,296.13569011956093,2.7117587940005343,3.281961978362096,0.26666666666666666,surge
0.9,0,296.13569011956093,2.7117587940005343,3.281961978362096,0.3,surge
0.9333333333333333,0,296.13569011956093,2.7117587940005343,3.281961978362096,0.3333333333333333,surge
0.9666666666666667,0,296.13569011956093,2.7117587940005343,3.281961978362096,0.36666666666666664,surge
1.0,0,296.13569011956093,2.7117587940005343,3.281961978362096,0.39999999999999997,surge
1.0333333333333334,0,296.10921110334823,2.70860081814266,3.2386286450287627,0.4333333333333333,surge
1.0666666666666667,0,296.0826201413027,2.7065928717776644,3.1952953116954292,0.4666666666666666,surge
1.1,0,296.05596715752904,2.7057387247926385,3.151961978362096,0.49999999999999994,surge
1.1333333333333333,0,296.0293021925767,2.7060399808348445,3.1086286450287623,0.5333333333333333,surge
1.1666666666666667,0,296.0026753094897,2.707496074300896,3.065295311695429,0.5666666666666667,turn1
1.2,0,295.97613649981383,2.7101042713986683,3.0219619783620955,0.6,turn1
1.2333333333333334,0,295.9497355897386,2.7138596752799486,2.978628645028762,0.6333333333333333,turn1
1.2666666666666666,0,295.9235221465492,2.718755235234192,2.9352953116954286,0.6666666666666666,turn1
1.3,0,295.8975453855646,2.7247817599261146,2.891961978362095,0.7,turn1
1.3333333333333333,0,295.28368167420365,2.8806100467846303,2.894028645028762,0.7333333333333333,turn1
1.3666666666666667,0,294.66949722888535,3.0351693500962464,2.896095311695429,0.7666666666666666,turn1
1.4,0,294.0549946728588,3.18845900972124,2.8981619783620958,0.7999999999999999,turn1
1.4333333333333333,0,293.44017663073174,3.340478370942676,2.9002286450287627,0.8333333333333333,turn1
1.4666666666666666,0,292.82504572845943,3.4912267844692026,2.9022953116954295,0.8666666666666666,turn1
1.5,0,292.2096045933334,3.640703606437825,2.9043619783620964,0.8999999999999999,turn1
1.5333333333333334,0,291.59385585397007,3.7889081984166553,2.9064286450287633,0.9333333333333332,turn1
1.5666666666666667,0,290.9778021402999,3.935839927407639,2.90849531169543,0.9666666666666666,turn1
1.6,0,290.36144608355573,4.0814981658492595,2.910561978362097,0.9999999999999999,turn1
1.6333333333333333,0,289.7447903162619,4.225882291619218,2.912628645028764,1.0333333333333332,turn1
1.6666666666666667,0,289.71895681766244,4.232496024394513,2.8692953116954305,1.0666666666666667,turn1
1.7,0,289.6934340754543,4.240222649873189,2.825961978362097,1.1,turn1
1.7333333333333334,0,289.6682700081766,4.249047661439855,2.7826286450287636,1.1333333333333335,turn1
1.7666666666666666,0,289.6435118609619,4.258954490276858,2.73929531169543,1.166666666666667,turn1
1.8,0,289.61920611683445,4.269924536471976,2.6959619783620967,1.2000000000000004,turn1
1.8333333333333333,0,289.595398409439,4.281937203939449,2.6526286450287633,1.2333333333333338,turn2
1.8666666666666667,2,289.595398409439,4.281937203939449,2.6526286450287633,0.03333333333333333,surge
1.9,0,289.03597200659,4.578843268051585,2.65469531169543,0.06666666666666667,surge
1.9333333333333333,0,288.47593319299773,4.8745925510283366,2.656761978362097,0.1,surge
1.9666666666666666,0,287.9152843606493,5.169183789692104,2.658828645028764,0.13333333333333333,surge
